name,type,paperCount
Computer Vision and Pattern Recognition,Conference,12
ArXiv,Journal,8
Neural Information Processing Systems,Conference,6
European Conference on Computer Vision,Conference,5
International Journal of Computer Vision,Journal,5
Conference on Empirical Methods in Natural Language Processing,Conference,4
IEEE International Conference on Computer Vision,Conference,4
IEEE Transactions on Knowledge and Data Engineering,Journal,4
Nature Machine Intelligence,Journal,4
PLoS ONE,Journal,4
Proceedings of the National Academy of Sciences of the United States of America,Journal,4
Proceedings of the National Academy of Sciences,Journal,4
International Conference on Human Factors in Computing Systems,Conference,3
IEEE International Conference on Data Engineering,Conference,3
Italian National Conference on Sensors,Conference,3
Genome Biology,Journal,3
J. Mach. Learn. Res.,Journal,3
nan,Journal,3
Journal of Statistics and Data Science Education,Journal,3
Communications of the ACM,Journal,3
IEEE Transactions on Pattern Analysis and Machine Intelligence,Journal,3
Conference on Innovative Data Systems Research,Conference,2
British Machine Vision Conference,Conference,2
International Conference on Learning Representations,Conference,2
IEEE Symposium on Security and Privacy,Conference,2
International Workshop on Data Warehousing and OLAP,Workshop,2
Scientific Data,Journal,2
Nucleic acids research,Journal,2
Nature,Journal,2
Nucleic Acids Research,Journal,2
BMC Bioinformatics,Journal,2
Journal of Cheminformatics,Journal,2
Journal of Big Data,Journal,2
Big Data & Society,Journal,2
Nature Methods,Journal,2
Journal of biomedical informatics,Journal,2
ACM Computing Surveys,Journal,2
ACM Computing Surveys (CSUR),Journal,2
International Journal of Systematic and Evolutionary Microbiology,Journal,2
International journal of systematic and evolutionary microbiology,Journal,2
International Journal of Data Science and Analytics,Journal,2
Geographical Analysis,Journal,2
International Journal of Production Research,Journal,2
Technical Symposium on Computer Science Education,Conference,1
IEEE International Enterprise Distributed Object Computing Conference,Conference,1
Decision Support Systems,Conference,1
American Medical Informatics Association Annual Symposium,Conference,1
ACM Symposium on Applied Computing,Conference,1
International Conference on Data Technologies and Applications,Conference,1
World Summit on the Knowledge Society,Conference,1
IEEE Region 10 Conference,Conference,1
International Conference on Data Warehousing and Knowledge Discovery,Conference,1
International Database Engineering and Applications Symposium,Conference,1
Security and Artificial Intelligence,Conference,1
International Conference on Software Engineering,Conference,1
International Conference on Machine Learning,Conference,1
Symposium on the Theory of Computing,Conference,1
IEEE International Conference on Robotics and Automation,Conference,1
Extended Semantic Web Conference,Conference,1
European Conference on Software Architecture,Conference,1
Vision,Conference,1
IOTA Programming System,Conference,1
Uncertainty Reasoning for the Semantic Web,Conference,1
International Conference on Intelligent Computing,Conference,1
Human Language Technology - The Baltic Perspectiv,Conference,1
Computer-Aided Architectural Design Futures,Conference,1
International Conference on Enterprise Information Systems,Conference,1
International Conference on Signal Processing Systems,Conference,1
International Conference on Computational Collective Intelligence,Conference,1
IEEE/RJS International Conference on Intelligent RObots and Systems,Conference,1
International Conference on Information and Knowledge Management,Conference,1
Annual Meeting of the Association for Computational Linguistics,Conference,1
"IEEE International Conference on Electrical, Computer and Communication Technologies",Conference,1
ACM Asia Conference on Computer and Communications Security,Conference,1
Asian Conference on Computer Vision,Conference,1
International Summit on eHealth,Conference,1
IFIP Working Conference on Database Semantics,Conference,1
Annual Conference of the IEEE Industrial Electronics Society,Conference,1
"International Conference on Teaching, Assessment, and Learning for Engineering",Conference,1
International Conference on Database Systems for Advanced Applications,Conference,1
Knowledge Discovery and Data Mining,Conference,1
Network and Distributed System Security Symposium,Conference,1
International Conference on Extending Database Technology,Conference,1
European Symposium on Programming,Conference,1
International Conference on 3D Vision,Conference,1
International Symposium on Intelligent Data Analysis,Conference,1
International Conference on Intelligent User Interfaces,Conference,1
International Computer Science Conference,Conference,1
International Conference on Computational Logic,Conference,1
IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology,Conference,1
International Conference on Computational Statistics,Conference,1
International Workshop on Semantic Evaluation,Workshop,1
UK Workshop on Computational Intelligence,Workshop,1
USENIX Workshop on Hot Topics in Storage and File Systems,Workshop,1
International Workshop on the Semantic Web,Workshop,1
Genome Research,Journal,1
Software: Practice and Experience,Journal,1
The International Journal of Life Cycle Assessment,Journal,1
BMC Medicine,Journal,1
Journal of Medical Internet Research,Journal,1
