paperTitle,authorName,citationCount
The Pfam protein families database,A. Heger,52
The Pfam protein families database,Jaina Mistry,52
The Pfam protein families database,Goran Ceric,52
The Data Warehouse Toolkit: The Definitive Guide to Dimensional Modeling,Margy Ross,50
The Data Warehouse Toolkit: The Definitive Guide to Dimensional Modeling,Ralph Kimball,50
Teaching Creative and Practical Data Science at Scale,Thomas Donoghue,50
Teaching Creative and Practical Data Science at Scale,Bradley Voytek,50
Teaching Creative and Practical Data Science at Scale,Shannon E. Ellis,50
CRISP-DM Twenty Years Later: From Data Mining Processes to Data Science Trajectories,P. Flach,49
CRISP-DM Twenty Years Later: From Data Mining Processes to Data Science Trajectories,Meelis Kull,49
